04.09.2022 18:56:46 [CarCover] 'CarCover.json' found, loading existing config
15.09.2022 11:34:55 [CarCover] 'CarCover.json' found, loading existing config
15.09.2022 11:50:02 [CarCover] 'CarCover.json' found, loading existing config
15.09.2022 11:52:54 [CarCover] 'CarCover.json' found, loading existing config
15.09.2022 12:01:12 [CarCover] 'CarCover.json' found, loading existing config
15.09.2022 13:19:47 [CarCover] 'CarCover.json' found, loading existing config
15.09.2022 13:22:50 [CarCover] 'CarCover.json' found, loading existing config
15.09.2022 16:01:16 [CarCover] 'CarCover.json' found, loading existing config
15.09.2022 20:01:12 [CarCover] 'CarCover.json' found, loading existing config
15.09.2022 22:00:12 [CarCover] 'CarCover.json' found, loading existing config
15.09.2022 22:18:45 [CarCover] 'CarCover.json' found, loading existing config
16.09.2022 00:01:14 [CarCover] 'CarCover.json' found, loading existing config
16.09.2022 04:01:08 [CarCover] 'CarCover.json' found, loading existing config
16.09.2022 09:50:43 [CarCover] 'CarCover.json' found, loading existing config
16.09.2022 09:57:01 [CarCover] 'CarCover.json' found, loading existing config
16.09.2022 10:39:54 [CarCover] 'CarCover.json' found, loading existing config
16.09.2022 11:04:17 [CarCover] 'CarCover.json' found, loading existing config
16.09.2022 11:58:12 [CarCover] 'CarCover.json' found, loading existing config
16.09.2022 12:01:07 [CarCover] 'CarCover.json' found, loading existing config
16.09.2022 12:55:32 [CarCover] 'CarCover.json' found, loading existing config
16.09.2022 13:27:01 [CarCover] 'CarCover.json' found, loading existing config
16.09.2022 16:01:12 [CarCover] 'CarCover.json' found, loading existing config
16.09.2022 20:01:09 [CarCover] 'CarCover.json' found, loading existing config
17.09.2022 00:01:08 [CarCover] 'CarCover.json' found, loading existing config
17.09.2022 04:01:08 [CarCover] 'CarCover.json' found, loading existing config
17.09.2022 08:01:10 [CarCover] 'CarCover.json' found, loading existing config
17.09.2022 12:01:15 [CarCover] 'CarCover.json' found, loading existing config
17.09.2022 16:05:40 [CarCover] 'CarCover.json' found, loading existing config
17.09.2022 16:14:51 [CarCover] 'CarCover.json' found, loading existing config
17.09.2022 16:19:05 [CarCover] 'CarCover.json' found, loading existing config
17.09.2022 20:02:12 [CarCover] 'CarCover.json' found, loading existing config
17.09.2022 22:34:52 [CarCover] 'CarCover.json' found, loading existing config
17.09.2022 22:41:53 [CarCover] 'CarCover.json' found, loading existing config
17.09.2022 23:00:14 [CarCover] 'CarCover.json' found, loading existing config
17.09.2022 23:19:34 [CarCover] 'CarCover.json' found, loading existing config
17.09.2022 23:50:05 [CarCover] 'CarCover.json' found, loading existing config
18.09.2022 00:01:12 [CarCover] 'CarCover.json' found, loading existing config
18.09.2022 04:01:09 [CarCover] 'CarCover.json' found, loading existing config
18.09.2022 08:01:22 [CarCover] 'CarCover.json' found, loading existing config
18.09.2022 08:19:42 [CarCover] 'CarCover.json' found, loading existing config
18.09.2022 08:37:49 [CarCover] 'CarCover.json' found, loading existing config
18.09.2022 12:01:17 [CarCover] 'CarCover.json' found, loading existing config
18.09.2022 16:01:20 [CarCover] 'CarCover.json' found, loading existing config
18.09.2022 16:31:52 [CarCover] 'CarCover.json' found, loading existing config
18.09.2022 16:35:45 [CarCover] 'CarCover.json' found, loading existing config
18.09.2022 16:38:58 [CarCover] 'CarCover.json' found, loading existing config
18.09.2022 20:01:14 [CarCover] 'CarCover.json' found, loading existing config
19.09.2022 00:01:12 [CarCover] 'CarCover.json' found, loading existing config
19.09.2022 04:01:12 [CarCover] 'CarCover.json' found, loading existing config
19.09.2022 08:22:47 [CarCover] 'CarCover.json' found, loading existing config
19.09.2022 09:26:17 [CarCover] 'CarCover.json' found, loading existing config
19.09.2022 09:33:55 [CarCover] 'CarCover.json' found, loading existing config
19.09.2022 09:39:17 [CarCover] 'CarCover.json' found, loading existing config
19.09.2022 10:10:21 [CarCover] 'CarCover.json' found, loading existing config
19.09.2022 10:17:49 [CarCover] 'CarCover.json' found, loading existing config
19.09.2022 10:41:31 [CarCover] 'CarCover.json' found, loading existing config
19.09.2022 12:01:14 [CarCover] 'CarCover.json' found, loading existing config
19.09.2022 16:01:13 [CarCover] 'CarCover.json' found, loading existing config
19.09.2022 19:26:17 [CarCover] Player TallGuide834 (76561198949392432) covered Expansion_Landrover at <4141.040039, 338.415344, 10966.988281>
19.09.2022 20:01:13 [CarCover] 'CarCover.json' found, loading existing config
19.09.2022 20:55:55 [CarCover] Player TallGuide834 (76561198949392432) uncovered Expansion_Landrover at <4141.040039, 338.415344, 10966.988281>
19.09.2022 21:28:51 [CarCover] Player TallGuide834 (76561198949392432) covered Expansion_Landrover at <3243.919678, 202.788895, 13062.348633>
19.09.2022 21:29:12 [CarCover] Player TallGuide834 (76561198949392432) uncovered Expansion_Landrover at <3243.919678, 202.788895, 13062.348633>
19.09.2022 23:11:31 [CarCover] 'CarCover.json' found, loading existing config
19.09.2022 23:47:46 [CarCover] Player TallGuide834 (76561198949392432) covered Expansion_Landrover at <3243.925537, 202.780670, 13062.347656>
20.09.2022 00:00:57 [CarCover] 'CarCover.json' found, loading existing config
20.09.2022 08:00:30 [CarCover] 'CarCover.json' found, loading existing config
20.09.2022 08:47:46 [CarCover] 'CarCover.json' found, loading existing config
20.09.2022 12:00:39 [CarCover] 'CarCover.json' found, loading existing config
20.09.2022 12:27:44 [CarCover] Player Sidarthus (76561198015557715) covered OffroadHatchback at <7231.695801, 252.585312, 6958.886230>
20.09.2022 12:27:55 [CarCover] Player Sidarthus (76561198015557715) uncovered OffroadHatchback at <7231.695801, 252.585312, 6958.886230>
20.09.2022 13:26:57 [CarCover] 'CarCover.json' found, loading existing config
20.09.2022 16:17:36 [CarCover] 'CarCover.json' found, loading existing config
20.09.2022 16:30:42 [CarCover] 'CarCover.json' found, loading existing config
20.09.2022 19:57:13 [CarCover] Player Carl (76561198402054878) covered ExpansionGyrocopter at <3222.588379, 210.567032, 13059.727539>
20.09.2022 20:00:38 [CarCover] 'CarCover.json' found, loading existing config
20.09.2022 20:07:32 [CarCover] Player Carl (76561198402054878) uncovered Expansion_Landrover at <3243.925537, 202.780670, 13062.347656>
20.09.2022 20:08:52 [CarCover] Player Carl (76561198402054878) covered Expansion_Landrover at <3243.925049, 202.780716, 13062.347656>
20.09.2022 22:55:03 [CarCover] 'CarCover.json' found, loading existing config
21.09.2022 00:00:38 [CarCover] 'CarCover.json' found, loading existing config
21.09.2022 04:00:40 [CarCover] 'CarCover.json' found, loading existing config
21.09.2022 08:00:43 [CarCover] 'CarCover.json' found, loading existing config
21.09.2022 08:55:14 [CarCover] Player TallGuide834 (76561198949392432) uncovered Expansion_Landrover at <3243.925049, 202.780716, 13062.347656>
21.09.2022 08:55:47 [CarCover] Player TallGuide834 (76561198949392432) covered Expansion_Landrover at <3243.924805, 202.780731, 13062.347656>
21.09.2022 08:57:10 [CarCover] Player TallGuide834 (76561198949392432) uncovered ExpansionGyrocopter at <3222.588379, 210.567032, 13059.727539>
21.09.2022 08:57:29 [CarCover] Player TallGuide834 (76561198949392432) covered ExpansionGyrocopter at <3222.587158, 210.567032, 13059.727539>
21.09.2022 09:23:26 [CarCover] Player TallGuide834 (76561198949392432) uncovered Expansion_Landrover at <3243.924805, 202.780731, 13062.347656>
21.09.2022 09:25:22 [CarCover] Player TallGuide834 (76561198949392432) covered Expansion_Landrover at <3243.924561, 202.780731, 13062.347656>
21.09.2022 09:25:34 [CarCover] Player TallGuide834 (76561198949392432) uncovered Expansion_Landrover at <3243.924561, 202.780731, 13062.347656>
21.09.2022 09:27:16 [CarCover] Player TallGuide834 (76561198949392432) covered Expansion_Landrover at <3243.924316, 202.780731, 13062.347656>
21.09.2022 09:27:48 [CarCover] Player TallGuide834 (76561198949392432) uncovered Expansion_Landrover at <3243.924316, 202.780731, 13062.347656>
21.09.2022 09:28:00 [CarCover] Player TallGuide834 (76561198949392432) covered Expansion_Landrover at <3243.923828, 202.780746, 13062.347656>
21.09.2022 12:00:41 [CarCover] 'CarCover.json' found, loading existing config
21.09.2022 15:26:35 [CarCover] Player Carl (76561198402054878) uncovered ExpansionGyrocopter at <3222.587158, 210.567032, 13059.727539>
21.09.2022 15:29:38 [CarCover] Player Carl (76561198402054878) covered ExpansionGyrocopter at <3228.690186, 210.567276, 13053.735352>
21.09.2022 16:00:43 [CarCover] 'CarCover.json' found, loading existing config
21.09.2022 17:58:57 [CarCover] Player Carl (76561198402054878) uncovered Expansion_Landrover at <3243.923828, 202.780746, 13062.347656>
21.09.2022 17:59:26 [CarCover] Player Carl (76561198402054878) covered Expansion_Landrover at <3243.923584, 202.780731, 13062.346680>
21.09.2022 20:00:39 [CarCover] 'CarCover.json' found, loading existing config
22.09.2022 00:00:39 [CarCover] 'CarCover.json' found, loading existing config
22.09.2022 04:00:40 [CarCover] 'CarCover.json' found, loading existing config
22.09.2022 08:00:43 [CarCover] 'CarCover.json' found, loading existing config
22.09.2022 12:00:39 [CarCover] 'CarCover.json' found, loading existing config
22.09.2022 14:24:42 [CarCover] 'CarCover.json' found, loading existing config
22.09.2022 16:00:42 [CarCover] 'CarCover.json' found, loading existing config
22.09.2022 20:00:37 [CarCover] 'CarCover.json' found, loading existing config
23.09.2022 00:00:42 [CarCover] 'CarCover.json' found, loading existing config
23.09.2022 04:00:39 [CarCover] 'CarCover.json' found, loading existing config
23.09.2022 08:00:42 [CarCover] 'CarCover.json' found, loading existing config
23.09.2022 12:00:40 [CarCover] 'CarCover.json' found, loading existing config
23.09.2022 12:15:47 [CarCover] Player TallGuide834 (76561198949392432) uncovered ExpansionGyrocopter at <3228.690186, 210.567276, 13053.735352>
23.09.2022 12:18:51 [CarCover] Player TallGuide834 (76561198949392432) covered ExpansionGyrocopter at <3229.771973, 210.572357, 13055.517578>
23.09.2022 13:00:00 [CarCover] Player Carl (76561198402054878) uncovered Expansion_Landrover at <3243.923584, 202.780731, 13062.346680>
23.09.2022 13:01:43 [CarCover] Player Carl (76561198402054878) covered Expansion_Landrover at <3243.923340, 202.780731, 13062.346680>
23.09.2022 14:09:44 [CarCover] Player ButterNutterTheBearFucker (76561198140452726) uncovered Expansion_Landrover at <3243.923340, 202.780731, 13062.346680>
23.09.2022 14:14:27 [CarCover] Player ButterNutterTheBearFucker (76561198140452726) covered Expansion_Landrover at <3242.540527, 202.793335, 13067.056641>
23.09.2022 15:06:45 [CarCover] Player ButterNutterTheBearFucker (76561198140452726) uncovered Expansion_Landrover at <3242.540527, 202.793335, 13067.056641>
23.09.2022 15:13:54 [CarCover] Player ButterNutterTheBearFucker (76561198140452726) covered Expansion_Landrover at <3242.540283, 202.793350, 13067.056641>
23.09.2022 16:00:54 [CarCover] 'CarCover.json' found, loading existing config
23.09.2022 20:00:49 [CarCover] 'CarCover.json' found, loading existing config
24.09.2022 00:00:38 [CarCover] 'CarCover.json' found, loading existing config
24.09.2022 04:00:37 [CarCover] 'CarCover.json' found, loading existing config
24.09.2022 08:00:45 [CarCover] 'CarCover.json' found, loading existing config
24.09.2022 12:00:41 [CarCover] 'CarCover.json' found, loading existing config
24.09.2022 12:54:42 [CarCover] Player ButterNutterTheBearFucker (76561198140452726) uncovered Expansion_Landrover at <3242.540283, 202.793350, 13067.056641>
24.09.2022 13:31:13 [CarCover] Player ButterNutterTheBearFucker (76561198140452726) covered Expansion_Landrover at <3245.320313, 202.763077, 13060.150391>
24.09.2022 16:00:41 [CarCover] 'CarCover.json' found, loading existing config
24.09.2022 20:00:43 [CarCover] 'CarCover.json' found, loading existing config
24.09.2022 21:05:25 [CarCover] Player ButterNutterTheBearFucker (76561198140452726) uncovered Expansion_Landrover at <3245.320313, 202.763077, 13060.150391>
24.09.2022 21:25:11 [CarCover] Player ButterNutterTheBearFucker (76561198140452726) covered Expansion_Landrover at <4168.623047, 180.968506, 13079.086914>
25.09.2022 00:00:43 [CarCover] 'CarCover.json' found, loading existing config
25.09.2022 04:00:36 [CarCover] 'CarCover.json' found, loading existing config
25.09.2022 08:00:44 [CarCover] 'CarCover.json' found, loading existing config
25.09.2022 12:00:37 [CarCover] 'CarCover.json' found, loading existing config
25.09.2022 12:16:20 [CarCover] 'CarCover.json' found, loading existing config
25.09.2022 16:00:38 [CarCover] 'CarCover.json' found, loading existing config
25.09.2022 17:43:01 [CarCover] 'CarCover.json' found, loading existing config
25.09.2022 18:04:30 [CarCover] 'CarCover.json' found, loading existing config
25.09.2022 18:33:56 [CarCover] 'CarCover.json' found, loading existing config
25.09.2022 20:00:39 [CarCover] 'CarCover.json' found, loading existing config
25.09.2022 20:23:03 [CarCover] 'CarCover.json' found, loading existing config
25.09.2022 21:54:47 [CarCover] 'CarCover.json' found, loading existing config
26.09.2022 00:00:46 [CarCover] 'CarCover.json' found, loading existing config
26.09.2022 04:00:45 [CarCover] 'CarCover.json' found, loading existing config
26.09.2022 08:00:44 [CarCover] 'CarCover.json' found, loading existing config
26.09.2022 08:49:33 [CarCover] Player ButterNutterTheBearFucker (76561198140452726) uncovered Expansion_Landrover at <4168.623047, 180.968506, 13079.086914>
26.09.2022 08:59:03 [CarCover] Player ButterNutterTheBearFucker (76561198140452726) covered Expansion_Landrover at <4168.622559, 180.968567, 13079.086914>
26.09.2022 10:20:43 [CarCover] Player ButterNutterTheBearFucker (76561198140452726) uncovered Expansion_Landrover at <4168.622559, 180.968567, 13079.086914>
26.09.2022 12:00:39 [CarCover] 'CarCover.json' found, loading existing config
26.09.2022 16:00:40 [CarCover] 'CarCover.json' found, loading existing config
26.09.2022 20:00:38 [CarCover] 'CarCover.json' found, loading existing config
27.09.2022 00:00:42 [CarCover] 'CarCover.json' found, loading existing config
27.09.2022 04:00:47 [CarCover] 'CarCover.json' found, loading existing config
27.09.2022 08:00:46 [CarCover] 'CarCover.json' found, loading existing config
27.09.2022 12:00:38 [CarCover] 'CarCover.json' found, loading existing config
27.09.2022 16:00:42 [CarCover] 'CarCover.json' found, loading existing config
27.09.2022 20:00:41 [CarCover] 'CarCover.json' found, loading existing config
27.09.2022 20:11:18 [CarCover] 'CarCover.json' found, loading existing config
28.09.2022 00:00:38 [CarCover] 'CarCover.json' found, loading existing config
28.09.2022 04:00:43 [CarCover] 'CarCover.json' found, loading existing config
28.09.2022 08:00:42 [CarCover] 'CarCover.json' found, loading existing config
28.09.2022 12:00:38 [CarCover] 'CarCover.json' found, loading existing config
28.09.2022 16:00:39 [CarCover] 'CarCover.json' found, loading existing config
28.09.2022 17:11:42 [CarCover] 'CarCover.json' found, loading existing config
28.09.2022 20:00:39 [CarCover] 'CarCover.json' found, loading existing config
29.09.2022 00:00:40 [CarCover] 'CarCover.json' found, loading existing config
29.09.2022 04:00:44 [CarCover] 'CarCover.json' found, loading existing config
29.09.2022 08:00:43 [CarCover] 'CarCover.json' found, loading existing config
29.09.2022 12:00:40 [CarCover] 'CarCover.json' found, loading existing config
29.09.2022 13:30:25 [CarCover] 'CarCover.json' found, loading existing config
29.09.2022 16:00:39 [CarCover] 'CarCover.json' found, loading existing config
29.09.2022 20:00:41 [CarCover] 'CarCover.json' found, loading existing config
30.09.2022 00:00:39 [CarCover] 'CarCover.json' found, loading existing config
30.09.2022 04:00:47 [CarCover] 'CarCover.json' found, loading existing config
30.09.2022 08:00:42 [CarCover] 'CarCover.json' found, loading existing config
30.09.2022 12:00:43 [CarCover] 'CarCover.json' found, loading existing config
30.09.2022 16:00:38 [CarCover] 'CarCover.json' found, loading existing config
30.09.2022 20:00:50 [CarCover] 'CarCover.json' found, loading existing config
01.10.2022 00:00:42 [CarCover] 'CarCover.json' found, loading existing config
01.10.2022 04:00:37 [CarCover] 'CarCover.json' found, loading existing config
01.10.2022 08:00:42 [CarCover] 'CarCover.json' found, loading existing config
01.10.2022 12:00:47 [CarCover] 'CarCover.json' found, loading existing config
01.10.2022 16:00:38 [CarCover] 'CarCover.json' found, loading existing config
01.10.2022 20:00:37 [CarCover] 'CarCover.json' found, loading existing config
02.10.2022 00:00:43 [CarCover] 'CarCover.json' found, loading existing config
02.10.2022 04:00:39 [CarCover] 'CarCover.json' found, loading existing config
02.10.2022 08:00:42 [CarCover] 'CarCover.json' found, loading existing config
02.10.2022 12:00:43 [CarCover] 'CarCover.json' found, loading existing config
02.10.2022 16:00:38 [CarCover] 'CarCover.json' found, loading existing config
02.10.2022 20:00:38 [CarCover] 'CarCover.json' found, loading existing config
02.10.2022 23:13:53 [CarCover] 'CarCover.json' found, loading existing config
03.10.2022 15:36:07 [CarCover] 'CarCover.json' found, loading existing config
03.10.2022 16:00:38 [CarCover] 'CarCover.json' found, loading existing config
03.10.2022 20:00:42 [CarCover] 'CarCover.json' found, loading existing config
04.10.2022 00:00:38 [CarCover] 'CarCover.json' found, loading existing config
04.10.2022 04:00:37 [CarCover] 'CarCover.json' found, loading existing config
04.10.2022 08:00:46 [CarCover] 'CarCover.json' found, loading existing config
04.10.2022 12:00:43 [CarCover] 'CarCover.json' found, loading existing config
04.10.2022 13:53:30 [CarCover] 'CarCover.json' found, loading existing config
04.10.2022 16:00:40 [CarCover] 'CarCover.json' found, loading existing config
04.10.2022 20:00:45 [CarCover] 'CarCover.json' found, loading existing config
04.10.2022 21:50:10 [CarCover] 'CarCover.json' found, loading existing config
04.10.2022 22:05:35 [CarCover] 'CarCover.json' found, loading existing config
05.10.2022 00:00:39 [CarCover] 'CarCover.json' found, loading existing config
05.10.2022 04:00:39 [CarCover] 'CarCover.json' found, loading existing config
05.10.2022 08:00:43 [CarCover] 'CarCover.json' found, loading existing config
05.10.2022 12:00:40 [CarCover] 'CarCover.json' found, loading existing config
05.10.2022 16:00:43 [CarCover] 'CarCover.json' found, loading existing config
05.10.2022 17:48:48 [CarCover] Player xsickboyx (76561198080920094) covered ExpansionUAZ at <9278.384766, 240.007492, 14613.329102>
05.10.2022 18:19:24 [CarCover] 'CarCover.json' found, loading existing config
05.10.2022 20:00:41 [CarCover] 'CarCover.json' found, loading existing config
05.10.2022 20:39:08 [CarCover] Player Marco (76561198015557715) covered OffroadHatchback at <111.619164, 478.603363, 11287.604492>
05.10.2022 21:03:51 [CarCover] Player Marco (76561198015557715) uncovered OffroadHatchback at <111.619164, 478.603363, 11287.604492>
06.10.2022 00:00:36 [CarCover] 'CarCover.json' found, loading existing config
06.10.2022 04:00:35 [CarCover] 'CarCover.json' found, loading existing config
06.10.2022 08:00:34 [CarCover] 'CarCover.json' found, loading existing config
06.10.2022 08:42:26 [CarCover] 'CarCover.json' found, loading existing config
06.10.2022 08:47:24 [CarCover] Player Marco (76561198015557715) covered OffroadHatchback at <112.656555, 478.595917, 11287.743164>
06.10.2022 09:27:27 [CarCover] Player Marco (76561198015557715) uncovered OffroadHatchback at <112.656555, 478.595917, 11287.743164>
06.10.2022 09:28:44 [CarCover] Player Marco (76561198015557715) covered OffroadHatchback at <112.657349, 478.595947, 11287.743164>
06.10.2022 09:29:12 [CarCover] Player Marco (76561198015557715) uncovered OffroadHatchback at <112.657349, 478.595947, 11287.743164>
06.10.2022 11:46:21 [CarCover] 'CarCover.json' does not exist, creating default config
06.10.2022 11:46:21 [CarCover] 'CarCover.json' found, loading existing config
06.10.2022 12:00:37 [CarCover] 'CarCover.json' found, loading existing config
06.10.2022 15:05:53 [CarCover] Player RickRuk (76561199012690901) covered CivilianSedan at <11984.164063, 196.986389, 7258.450684>
06.10.2022 16:00:43 [CarCover] 'CarCover.json' found, loading existing config
